filename,width,height,class,xmin,ymin,xmax,ymax
S04_M_air_1.jpg,2000,3008,face,405,881,1667,2157
S04_M_friction_1.jpg,2000,3008,face,213,872,1583,2278
S04_M_pain_1.jpg,2000,3008,face,209,779,1681,2413
S04_M_pain_2.jpg,2000,3008,face,293,765,1765,2399
S04_M_pain_3.jpg,2000,3008,face,405,653,1779,2157
S04_M_pain_4.jpg,2000,3008,face,162,588,1587,2138
S04_M_rest_1.jpg,2000,3008,face,41,658,1564,2278
S04_M_rest_2.jpg,2000,3008,face,139,569,1662,2021
S04_M_rest_3.jpg,2000,3008,face,167,700,1686,2287
S04_M_succrose.jpg,2000,3008,face,167,559,1634,1984
S07_F_air.jpg,2000,3008,face,489,891,1587,1942
S07_F_cry.jpg,2000,3008,face,466,994,1419,1998
S07_F_friction.jpg,2000,3008,face,545,872,1615,2073
S07_F_pain.jpg,2000,3008,face,330,751,1443,1844
S07_F_rest_1.jpg,2000,3008,face,480,1003,1405,1844
S07_F_rest_2.jpg,2000,3008,face,405,957,1298,1961
S08_F_air_1.jpg,2000,3008,face,475,994,1620,2250
S08_F_cry.jpg,2000,3008,face,316,793,1447,2035
S08_F_friction_1.jpg,2000,3008,face,368,975,1386,2091
S08_F_friction_2.jpg,2000,3008,face,302,817,1340,1970
S08_F_friction_2b.jpg,2000,3008,face,513,798,1625,2096
S08_F_pain.jpg,2000,3008,face,429,849,1541,2189
S08_F_pain_2.jpg,2000,3008,face,433,933,1513,2259
S08_F_rest_1.jpg,2000,3008,face,672,816,1504,1946
S08_F_rest_2.jpg,2000,3008,face,494,947,1461,2119
S08_F_rest_3.jpg,2000,3008,face,429,821,1377,2030
S08_F_rest_4.jpg,2000,3008,face,457,755,1545,2012
S09_M_air_1.jpg,2000,3008,face,648,966,1527,1909
S09_M_air_2.jpg,2000,3008,face,508,942,1382,1895
S09_M_friction_1.jpg,2000,3008,face,555,951,1429,1904
S09_M_friction_2.jpg,2000,3008,face,545,849,1419,1816
S09_M_pain_1.jpg,2000,3008,face,681,863,1527,1844
S09_M_pain_2.jpg,2000,3008,face,625,877,1443,1853
S09_M_rest_1.jpg,2000,3008,face,461,975,1298,2063
S09_M_rest_2.jpg,2000,3008,face,508,858,1387,1876
S09_M_sucrose.jpg,2000,3008,face,634,779,1601,1923
S10_F_air_1.jpg,2000,3008,face,643,751,1658,1830
S10_F_pain_1.jpg,2000,3008,face,587,793,1527,1914
S10_F_rest_1.jpg,2000,3008,face,606,793,1461,1746
S10_F_sucrose.jpg,2000,3008,face,634,980,1396,1900
S11_F_air_1.jpg,2000,3008,face,569,1059,1419,1951
S11_F_air_2.jpg,2000,3008,face,569,1059,1424,1923
S11_F_air_3.jpg,2000,3008,face,476,1138,1349,1988
S11_F_friction_1.jpg,2000,3008,face,546,849,1503,1909
S11_F_friction_2.jpg,2000,3008,face,467,853,1466,1900
S11_F_pain_1.jpg,2000,3008,face,634,923,1485,1914
S11_F_pain_2.jpg,2000,3008,face,672,933,1522,1886
S11_F_pain_3.jpg,2000,3008,face,621,1017,1527,1951
S11_F_rest_1.jpg,2000,3008,face,443,1003,1429,2110
S11_F_rest_3.jpg,2000,3008,face,429,989,1447,2133
S11_F_rest_4.jpg,2000,3008,face,387,1040,1401,2138
S11_F_rest_5.jpg,2000,3008,face,489,1064,1354,1951
S11_F_rest_6.jpg,2000,3008,face,470,980,1405,1951
S11_F_rest_7.jpg,2000,3008,face,583,980,1419,1904
S12_F_air.jpg,2000,3008,face,475,980,1452,2068
S12_F_air_2.jpg,2000,3008,face,316,1036,1293,2171
S12_F_air_3.jpg,2000,3008,face,414,961,1391,2138
S12_F_air_4.jpg,2000,3008,face,414,961,1429,2138
S12_F_friction.jpg,2000,3008,face,414,1040,1368,2063
S12_F_pain.jpg,2000,3008,face,414,1040,1429,2063
S12_F_rest_1.jpg,2000,3008,face,414,998,1387,2012
S12_F_rest_2.jpg,2000,3008,face,461,909,1434,1974
S12_F_rest_3.jpg,2000,3008,face,461,919,1396,1974
S12_F_rest_4.jpg,2000,3008,face,391,1073,1326,2077
S12_F_sucrose.jpg,2000,3008,face,456,1087,1461,2091
S14_M_air_1.jpg,2000,3008,face,564,1059,1391,1937
S14_M_cry.jpg,2000,3008,face,573,1059,1391,1834
S14_M_cry_2.jpg,2000,3008,face,559,1045,1377,1914
S14_M_cry_3.jpg,2000,3008,face,527,1045,1358,1918
S14_M_cry_4.jpg,2000,3008,face,588,1036,1396,1970
S14_M_friction_1.jpg,2000,3008,face,663,961,1471,1895
S14_M_friction_2.jpg,2000,3008,face,518,994,1335,1942
S14_M_pain_1.jpg,2000,3008,face,574,994,1410,1960
S14_M_pain2.jpg,2000,3008,face,550,1003,1354,1932
S14_M_rest_1.jpg,2000,3008,face,606,966,1433,1820
S14_M_rest_2.jpg,2000,3008,face,531,1008,1358,1904
S14_M_rest_6.jpg,2000,3008,face,578,1041,1419,1951
S14_M_sucrose.jpg,2000,3008,face,545,1041,1386,1918
S14_M_sucrose2.jpg,2000,3008,face,582,1046,1419,1914
S14_M_sucrose3.jpg,2000,3008,face,531,1051,1368,1919
S15_M_air_1.jpg,2000,3008,face,582,1012,1419,1951
S15_M_air2.jpg,2000,3008,face,624,961,1438,1844
S15_M_cry.jpg,2000,3008,face,474,937,1358,1993
S15_M_cry_1.jpg,2000,3008,face,597,1002,1391,1895
S15_M_friciton_1.jpg,2000,3008,face,597,849,1452,1820
S15_M_friction_2.jpg,2000,3008,face,476,863,1410,1886
S15_M_pain_1.jpg,2000,3008,face,508,825,1419,1825
S15_M_pain_2.jpg,2000,3008,face,480,881,1363,1881
S15_M_pain3.jpg,2000,3008,face,508,881,1387,1942
S15_M_rest_2.jpg,2000,3008,face,508,881,1298,1802
S15_M_rest_3.jpg,2000,3008,face,648,900,1489,1876
S15_M_sucrose.jpg,2000,3008,face,489,877,1387,1993
S16_M_cry_1.jpg,2000,3008,face,536,938,1634,2096
S16_M_cry_2.jpg,2000,3008,face,377,789,1503,2087
S16_M_cry_3.jpg,2000,3008,face,606,970,1643,2058
S16_M_cry_4.jpg,2000,3008,face,569,877,1606,2040
S16_M_pain_1.jpg,2000,3008,face,354,886,1630,2203
S16_M_pain_2.jpg,2000,3008,face,429,853,1705,2222
S16_M_rest_1.jpg,2000,3008,face,709,947,1718,2035
S16_M_sucrose.jpg,2000,3008,face,545,961,1746,2138
S17_M_air_1.jpg,2000,3008,face,569,961,1601,1974
S17_M_cry_1.jpg,2000,3008,face,578,882,1438,1956
S17_M_cry_2.jpg,2000,3008,face,592,994,1424,1881
S17_M_cry_3.jpg,2000,3008,face,527,928,1517,1993
S17_M_friction_1.jpg,2000,3008,face,672,1035,1639,2030
S17_M_pain_1.jpg,2000,3008,face,746,1054,1592,2180
S17_M_rest_1.jpg,2000,3008,face,564,1012,1410,1904
S17_M_rest_2.jpg,2000,3008,face,597,975,1443,1867
